,level,type,code,name,city_code,city_name,dist_code,dist_name,region_code,region_name
0,1,region,0100000000000,Республика Адыгея,,,,,0100000000000,Республика Адыгея
1,3,city,0100000100000,Майкоп,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
2,4,settlement,0100000100200,Веселый,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
3,4,settlement,0100000100300,Гавердовский,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
4,4,settlement,0100000100400,Подгорный,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
5,4,settlement,0100000100500,Родниковый,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
6,4,settlement,0100000100600,Северный,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
7,4,settlement,0100000100700,Ханская,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
8,4,settlement,0100000100800,Западный,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
9,4,settlement,0100000100900,Косинов,0100000100000,Майкоп,,,0100000000000,Республика Адыгея
10,3,city,0100000200000,Адыгейск,0100000200000,Адыгейск,,,0100000000000,Республика Адыгея
11,4,settlement,0100000200100,Гатлукай,0100000200000,Адыгейск,,,0100000000000,Республика Адыгея
12,4,settlement,0100000200200,Псекупс,0100000200000,Адыгейск,,,0100000000000,Республика Адыгея
13,2,district,0100200000000,Кошехабльский,,,0100200000000,Кошехабльский,0100000000000,['0100000000000' 'Республика Адыгея']
14,4,settlement,0100200000100,Кошехабль,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
15,4,settlement,0100200000200,Блечепсин,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
16,4,settlement,0100200000300,Вольное,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
17,4,settlement,0100200000400,Дмитриевский,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
18,4,settlement,0100200000500,Дружба,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
19,4,settlement,0100200000600,Егерухай,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
20,4,settlement,0100200000700,Игнатьевский,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
21,4,settlement,0100200000800,Казенно-Кужорский,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
22,4,settlement,0100200000900,Кармолино-Гидроицкий,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
23,4,settlement,0100200001000,Комсомольский,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
24,4,settlement,0100200001100,Красный Фарс,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
25,4,settlement,0100200001200,Красный,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
26,4,settlement,0100200001300,Майский,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
27,4,settlement,0100200001400,Натырбово,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
28,4,settlement,0100200001500,Новоалексеевский,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
29,4,settlement,0100200001600,Отрадный,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
30,4,settlement,0100200001700,Плодопитомник,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
31,4,settlement,0100200001800,Политотдел,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
32,4,settlement,0100200001900,Соколов,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
33,4,settlement,0100200002000,Хачемзий,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
34,4,settlement,0100200002100,Ходзь,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
35,4,settlement,0100200002200,Чехрак,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
36,4,settlement,0100200002300,Чехрак,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
37,4,settlement,0100200002400,Шелковников,,,0100200000000,Кошехабльский,0100000000000,Республика Адыгея
38,2,district,0100300000000,Красногвардейский,,,0100300000000,Красногвардейский,0100000000000,['0100000000000' 'Республика Адыгея']
39,4,settlement,0100300000100,Красногвардейское,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
40,4,settlement,0100300000200,Адамий,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
41,4,settlement,0100300000300,Белое,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
42,4,settlement,0100300000400,Бжедугхабль,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
43,4,settlement,0100300000500,Богурсуков,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
44,4,settlement,0100300000600,Большесидоровское,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
45,4,settlement,0100300000700,Верхненазаровское,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
46,4,settlement,0100300000800,Водный,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
47,4,settlement,0100300000900,Джамбечий,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
48,4,settlement,0100300001000,Догужиев,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
49,4,settlement,0100300001100,Еленовское,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
50,4,settlement,0100300001200,Лесной,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
51,4,settlement,0100300001300,Мирный,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
52,4,settlement,0100300001400,Набережный,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
53,4,settlement,0100300001500,Новосевастопольское,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
54,4,settlement,0100300001600,Папенков,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
55,4,settlement,0100300001700,Преображенское,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
56,4,settlement,0100300001800,Пустоселов,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
57,4,settlement,0100300001900,Садовое,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
58,4,settlement,0100300002000,Саратовский,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
59,4,settlement,0100300002100,Свободный,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
60,4,settlement,0100300002200,Уляп,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
61,4,settlement,0100300002300,Хатукай,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
62,4,settlement,0100300002400,Чумаков,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
63,4,settlement,0100300002500,Штурбино,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
64,4,settlement,0100300002700,Ягодка,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
65,4,settlement,0100300002800,Утро,,,0100300000000,Красногвардейский,0100000000000,Республика Адыгея
66,2,district,0100400000000,Майкопский,,,0100400000000,Майкопский,0100000000000,['0100000000000' 'Республика Адыгея']
67,4,settlement,0100400000100,Тульский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
68,4,settlement,0100400000200,Абадзехская,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
69,4,settlement,0100400000300,Безводная,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
70,4,settlement,0100400000400,Веселый,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
71,4,settlement,0100400000500,Веселый,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
72,4,settlement,0100400000600,Вольный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
73,4,settlement,0100400000700,Гражданский,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
74,4,settlement,0100400000800,Грозный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
75,4,settlement,0100400000900,Грозный,,,0100400000000,Майкопский,0100000000000,Республика Адыгея
